                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        9793      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131 
                            model_number                                num_zones                                 star_age                                   log_dt                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                                center_h2                               center_he3                               center_he4                               center_li7                               center_be7                                center_b8                               center_c12                               center_n14                               center_o16                              center_ne20                              center_mg24                            log_center_h1                            log_center_h2                           log_center_he3                           log_center_he4                           log_center_li7                           log_center_be7                            log_center_b8                           log_center_c12                           log_center_n14                           log_center_o16                          log_center_ne20                          log_center_mg24                               surface_h1                               surface_h2                              surface_he3                              surface_he4                              surface_li7                              surface_be7                               surface_b8                              surface_c12                              surface_n14                              surface_o16                             surface_ne20                             surface_mg24                               average_h1                               average_h2                              average_he3                              average_he4                              average_li7                              average_be7                               average_b8                              average_c12                              average_n14                              average_o16                             average_ne20                             average_mg24                           log_surface_h1                           log_surface_h2                          log_surface_he3                          log_surface_he4                          log_surface_li7                          log_surface_be7                           log_surface_b8                          log_surface_c12                          log_surface_n14                          log_surface_o16                         log_surface_ne20                         log_surface_mg24                           log_average_h1                           log_average_h2                          log_average_he3                          log_average_he4                          log_average_li7                          log_average_be7                           log_average_b8                          log_average_c12                          log_average_n14                          log_average_o16                         log_average_ne20                         log_average_mg24                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters                                tfm_s_age                              tfm_perc_dp                                   tfm_dp                                   tfm_mp                                tfm_s_p_d 
                                       1                                      559                  1.0000000000000001E-005                 -4.9999999999999991E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  1.2514997432075579E-004                  9.9999773039059314E-001                  2.4035897544999967E-004                  6.7588426445509077E-005                  7.8130205885115960E-008                  9.9999773039059314E-001                  2.4035897544999967E-004                  6.7588426445509077E-005                  7.8130205885115960E-008                 -2.1641122748522662E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1641122748522662E+001                 -2.1641122748522662E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6347377039700661E+000                  2.4284578693462398E+000                  1.4680123631856139E+000                  1.5018646270418974E+000                 -3.0864675043741729E-001                  5.4772695509472209E+000                 -3.2908499199904928E+000                  1.0309913460361528E+001                 -3.2908499199904928E+000                  5.4772695509472209E+000                  6.2137016659540711E-001                  8.5000999446318237E-001                  1.2967695133870349E+000                  7.0001067228923031E-001                  8.7372039449703652E-036                  2.7955281905284688E-005                  2.7952486377094160E-001                  1.2531170550721868E-008                  6.4150630078700098E-081                  0.0000000000000000E+000                  3.5167252522529573E-003                  1.0301620435492552E-003                  9.5647424084856474E-003                  2.1452815719479059E-003                  4.1795848505164768E-003                 -1.5489533872718589E-001                 -3.5058627526810668E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -8.0192799073687198E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957522E+000                 -2.0193267216199229E+000                 -2.6685156978299260E+000                 -2.3788668536517186E+000                  7.0001067228923020E-001                  9.2571206150304372E-044                  2.7955281905284688E-005                  2.7952486377094160E-001                  1.2531170550721869E-008                  8.2737571323448394E-098                  0.0000000000000000E+000                  3.5167252522529569E-003                  1.0301620435492552E-003                  9.5647424084856492E-003                  2.1452815719479059E-003                  4.1795848505164776E-003                  7.0001067228923008E-001                  2.4559579465769142E-037                  2.7955281905284685E-005                  2.7952486377094177E-001                  1.2531170550721866E-008                  3.0142682043244217E-083                  0.0000000000000000E+000                  3.5167252522529551E-003                  1.0301620435492547E-003                  9.5647424084856526E-003                  2.1452815719479042E-003                  4.1795848505164742E-003                 -1.5489533872718594E-001                 -4.3033524077623106E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -9.7082297231522503E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957522E+000                 -2.0193267216199229E+000                 -2.6685156978299260E+000                 -2.3788668536517186E+000                 -1.5489533872718603E-001                 -3.6609779073901372E+001                 -4.5535361238920808E+000                 -5.5357955551188864E-001                 -7.9020083591754311E+000                 -8.2520818107537011E+001                 -9.8999999999999986E+001                 -2.4538615600570663E+000                 -2.9870944557957526E+000                 -2.0193267216199224E+000                 -2.6685156978299265E+000                 -2.3788668536517190E+000                  7.0001067228923008E-001                  2.7952486377094177E-001                                        0                                        0                                        6                  0.0000000000000000E+000                  7.0000000000000007E-002                  6.0157695399999999E+007                  8.8599999999999994E+000                  3.9711659317387593E+012 
                                       5                                      557                  7.4416000000000000E-005                 -4.6832750158095005E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  1.2516571184183477E-004                  8.4086063315528703E-001                  1.7154866080375747E-003                  9.9999773039059314E-001                  9.5100409828504695E-001                  8.4086063315528703E-001                  1.7154866080375747E-003                  9.9999773039059314E-001                  9.5100409828504695E-001                 -2.1641121595199380E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1641121595199380E+001                 -2.1641121595199380E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6330392473424435E+000                  2.4214845663718130E+000                  1.4679226249536459E+000                  1.5010700780866246E+000                 -3.0852073934779711E-001                  5.4772698621331735E+000                 -3.2908492535390805E+000                  1.0309914439650104E+001                 -3.2908492535390805E+000                  5.4772698621331735E+000                  6.2137016604215822E-001                  8.5000999446318237E-001                  1.2967695133870349E+000                  7.0001067228923031E-001                  6.4974290062588811E-035                  2.7955281905284692E-005                  2.7952486377094160E-001                  1.2531170550721869E-008                  4.7618929865020556E-080                  0.0000000000000000E+000                  3.5167252522529582E-003                  1.0301620435492552E-003                  9.5647424084856474E-003                  2.1452815719479059E-003                  4.1795848505164768E-003                 -1.5489533872718589E-001                 -3.4187258457091808E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -7.9322220368673641E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957522E+000                 -2.0193267216199229E+000                 -2.6685156978299260E+000                 -2.3788668536517186E+000                  7.0001067228923031E-001                  6.9069037384758562E-043                  2.7955281905284685E-005                  2.7952486377094160E-001                  1.2531170550721866E-008                  6.1085924326922590E-097                  0.0000000000000000E+000                  3.5167252522529577E-003                  1.0301620435492552E-003                  9.5647424084856457E-003                  2.1452815719479055E-003                  4.1795848505164768E-003                  7.0001067228923020E-001                  1.8264894219376756E-036                  2.7955281905284685E-005                  2.7952486377094177E-001                  1.2531170550721864E-008                  2.2229351506774846E-082                  0.0000000000000000E+000                  3.5167252522529551E-003                  1.0301620435492547E-003                  9.5647424084856526E-003                  2.1452815719479042E-003                  4.1795848505164750E-003                 -1.5489533872718589E-001                 -4.2160716596714288E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -9.6214058850172862E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957522E+000                 -2.0193267216199229E+000                 -2.6685156978299265E+000                 -2.3788668536517186E+000                 -1.5489533872718594E-001                 -3.5738382838649102E+001                 -4.5535361238920808E+000                 -5.5357955551188864E-001                 -7.9020083591754311E+000                 -8.1653073206717877E+001                 -9.8999999999999986E+001                 -2.4538615600570663E+000                 -2.9870944557957526E+000                 -2.0193267216199224E+000                 -2.6685156978299265E+000                 -2.3788668536517190E+000                  7.0001067228923020E-001                  2.7952486377094177E-001                                        0                                        0                                        6                  0.0000000000000000E+000                  7.0000000000000007E-002                  6.0157695399999999E+007                  8.8599999999999994E+000                  3.9715883643638428E+012 
                                      10                                      556                  2.5958682111999992E-004                 -4.2873687855713767E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  1.2517004802694011E-004                  8.4086063315528692E-001                  1.7154866177393026E-003                  9.9999773039059314E-001                  9.5100409822057730E-001                  8.4086063315528692E-001                  1.7154866177393026E-003                  9.9999773039059314E-001                  9.5100409822057730E-001                 -2.1641114235185587E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1641114235185587E+001                 -2.1641114235185587E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6293631965675730E+000                  2.4062675699008667E+000                  1.4676662282679143E+000                  1.5015846136153901E+000                 -3.0634903296030563E-001                  5.4772703144290347E+000                 -3.2908485678348671E+000                  1.0309915581353030E+001                 -3.2908485678348671E+000                  5.4772703144290347E+000                  6.2137016503193820E-001                  8.5000999446318237E-001                  1.2967695133870349E+000                  7.0001067228923031E-001                  2.2693277667481983E-034                  2.7955281905284688E-005                  2.7952486377094160E-001                  1.2531170550721868E-008                  1.6686548786353694E-079                  0.0000000000000000E+000                  3.5167252522529582E-003                  1.0301620435492552E-003                  9.5647424084856474E-003                  2.1452815719479059E-003                  4.1795848505164768E-003                 -1.5489533872718589E-001                 -3.3644102772951662E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -7.8777633477462842E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957522E+000                 -2.0193267216199229E+000                 -2.6685156978299260E+000                 -2.3788668536517186E+000                  7.0001067228923031E-001                  2.4340188262631916E-042                  2.7955281905284688E-005                  2.7952486377094160E-001                  1.2531170550721866E-008                  2.1501746154425361E-096                  0.0000000000000000E+000                  3.5167252522529573E-003                  1.0301620435492552E-003                  9.5647424084856474E-003                  2.1452815719479059E-003                  4.1795848505164759E-003                  7.0001067228923008E-001                  6.3742612886021539E-036                  2.7955281905284682E-005                  2.7952486377094182E-001                  1.2531170550721866E-008                  7.8045134757345273E-082                  0.0000000000000000E+000                  3.5167252522529547E-003                  1.0301620435492547E-003                  9.5647424084856526E-003                  2.1452815719479042E-003                  4.1795848505164750E-003                 -1.5489533872718589E-001                 -4.1613676066980808E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -9.5667526269645407E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957522E+000                 -2.0193267216199229E+000                 -2.6685156978299260E+000                 -2.3788668536517190E+000                 -1.5489533872718603E-001                 -3.5195570138246609E+001                 -4.5535361238920808E+000                 -5.5357955551188853E-001                 -7.9020083591754311E+000                 -8.1107654165169095E+001                 -9.8999999999999986E+001                 -2.4538615600570663E+000                 -2.9870944557957526E+000                 -2.0193267216199224E+000                 -2.6685156978299265E+000                 -2.3788668536517190E+000                  7.0001067228923008E-001                  2.7952486377094182E-001                                        0                                        0                                        6                  0.0000000000000000E+000                  7.0000000000000007E-002                  6.0157695399999999E+007                  8.8599999999999994E+000                  3.9727948420342822E+012 
                                      15                                      558                  7.2035107872931792E-004                 -3.8914625553332525E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  1.2516973659058419E-004                  8.4086063315528670E-001                  1.7154866430050761E-003                  9.9999773039059314E-001                  9.5100409819584586E-001                  8.4086063315528670E-001                  1.7154866430050761E-003                  9.9999773039059314E-001                  9.5100409819584586E-001                 -2.1641072261360780E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1641072261360780E+001                 -2.1641072261360780E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6233450580566102E+000                  2.3810186702370419E+000                  1.4670780554579277E+000                  1.5027649419720086E+000                 -2.6249033243706010E-001                  5.4772732485166005E+000                 -3.2908441094945147E+000                  1.0309922997755013E+001                 -3.2908441094945147E+000                  5.4772732485166005E+000                  6.2137015848621180E-001                  8.5000999446318237E-001                  1.2967695133870349E+000                  7.0001067228923031E-001                  6.2944444653506005E-034                  2.7955281905284692E-005                  2.7952486377094160E-001                  1.2531170550721869E-008                  4.6228770293561192E-079                  0.0000000000000000E+000                  3.5167252522529577E-003                  1.0301620435492552E-003                  9.5647424084856474E-003                  2.1452815719479059E-003                  4.1795848505164768E-003                 -1.5489533872718589E-001                 -3.3201042593797453E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -7.8335087658840166E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957522E+000                 -2.0193267216199229E+000                 -2.6685156978299260E+000                 -2.3788668536517186E+000                  7.0001067228923031E-001                  6.8944240896202411E-042                  2.7955281905284692E-005                  2.7952486377094166E-001                  1.2531170550721866E-008                  6.0886398382554736E-096                  0.0000000000000000E+000                  3.5167252522529582E-003                  1.0301620435492552E-003                  9.5647424084856457E-003                  2.1452815719479059E-003                  4.1795848505164768E-003                  7.0001067228923008E-001                  1.7691262951485185E-035                  2.7955281905284685E-005                  2.7952486377094177E-001                  1.2531170550721866E-008                  2.1695594740144094E-081                  0.0000000000000000E+000                  3.5167252522529551E-003                  1.0301620435492547E-003                  9.5647424084856526E-003                  2.1452815719479046E-003                  4.1795848505164750E-003                 -1.5489533872718589E-001                 -4.1161502005796478E+001                 -4.5535361238920808E+000                 -5.5357955551188887E-001                 -7.9020083591754311E+000                 -9.5215479715038001E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957522E+000                 -2.0193267216199229E+000                 -2.6685156978299260E+000                 -2.3788668536517186E+000                 -1.5489533872718603E-001                 -3.4752241162382390E+001                 -4.5535361238920808E+000                 -5.5357955551188864E-001                 -7.9020083591754311E+000                 -8.0663628440080856E+001                 -9.8999999999999986E+001                 -2.4538615600570663E+000                 -2.9870944557957526E+000                 -2.0193267216199224E+000                 -2.6685156978299265E+000                 -2.3788668536517190E+000                  7.0001067228923008E-001                  2.7952486377094177E-001                                        0                                        0                                        6                  0.0000000000000000E+000                  7.0000000000000007E-002                  6.0157695399999999E+007                  8.8599999999999994E+000                  3.9755598065844775E+012 
                                      20                                      559                  1.8668799962237360E-003                 -3.4955563250951283E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  1.2516602067820515E-004                  8.4496266504593287E-001                  1.7154867201931315E-003                  9.9999754800461937E-001                  9.5100409820458631E-001                  8.4496266504593287E-001                  1.7154867201931315E-003                  9.9999754800461937E-001                  9.5100409820458631E-001                 -2.1640853776714035E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1640853776714035E+001                 -2.1640853776714035E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6134255098099342E+000                  2.3397248384404654E+000                  1.4662702360529900E+000                  1.5043860197467704E+000                 -1.1248490744586186E-001                  5.4772857142556708E+000                 -3.2908251612169330E+000                  1.0309954513595228E+001                 -3.2908251612169330E+000                  5.4772857142556708E+000                  6.2137013068682156E-001                  8.5000999446318259E-001                  1.2967695133870352E+000                  7.0001067228923031E-001                  1.6151659846937738E-033                  2.7955281905284688E-005                  2.7952486377094160E-001                  1.2531170550721868E-008                  1.1566865595911509E-078                  0.0000000000000000E+000                  3.5167252522529577E-003                  1.0301620435492552E-003                  9.5647424084856474E-003                  2.1452815719479059E-003                  4.1795848505164768E-003                 -1.5489533872718589E-001                 -3.2791782840185853E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -7.7936784310782059E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957522E+000                 -2.0193267216199229E+000                 -2.6685156978299260E+000                 -2.3788668536517186E+000                  7.0001067228923031E-001                  1.8576194353642518E-041                  2.7955281905284685E-005                  2.7952486377094160E-001                  1.2531170550721868E-008                  1.6403645048490037E-095                  0.0000000000000000E+000                  3.5167252522529573E-003                  1.0301620435492552E-003                  9.5647424084856474E-003                  2.1452815719479059E-003                  4.1795848505164768E-003                  7.0001067228923020E-001                  4.5860749776387575E-035                  2.7955281905284692E-005                  2.7952486377094182E-001                  1.2531170550721869E-008                  5.6297714561352629E-081                  0.0000000000000000E+000                  3.5167252522529556E-003                  1.0301620435492550E-003                  9.5647424084856544E-003                  2.1452815719479055E-003                  4.1795848505164750E-003                 -1.5489533872718589E-001                 -4.0731043253770821E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -9.4785059636796760E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957522E+000                 -2.0193267216199229E+000                 -2.6685156978299260E+000                 -2.3788668536517186E+000                 -1.5489533872718594E-001                 -3.4338558849277121E+001                 -4.5535361238920808E+000                 -5.5357955551188853E-001                 -7.9020083591754311E+000                 -8.0249509235229283E+001                 -9.8999999999999986E+001                 -2.4538615600570663E+000                 -2.9870944557957522E+000                 -2.0193267216199224E+000                 -2.6685156978299265E+000                 -2.3788668536517190E+000                  7.0001067228923020E-001                  2.7952486377094182E-001                                        0                                        0                                        6                  0.0000000000000000E+000                  7.0000000000000007E-002                  6.0157695399999999E+007                  8.8599999999999994E+000                  3.9793512182157900E+012 
                                      25                                      558                  4.7198108322034464E-003                 -3.0996500948570045E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  1.2515630515536966E-004                  8.5288687510648653E-001                  1.7154868378675291E-003                  9.9999716347460177E-001                  9.5100409804668651E-001                  8.5288687510648653E-001                  1.7154868378675291E-003                  9.9999716347460177E-001                  9.5100409804668651E-001                 -2.1639995228425615E+001                 -9.8999999999999986E+001                 -3.7327719462333661E+001                 -2.1639995228425615E+001                 -2.1639995228425615E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5995949447160887E+000                  2.2826754532912168E+000                  1.4654066736660580E+000                  1.5061189193068256E+000                 -5.3610542091251864E-002                  5.4773338578606410E+000                 -3.2907519311774207E+000                  1.0310076280227095E+001                 -3.2907519311774207E+000                  5.4773338578606410E+000                  6.2137002345027026E-001                  8.5000999446318237E-001                  1.2967695133870352E+000                  7.0001067228923031E-001                  4.0751139390626470E-033                  2.7955281905284688E-005                  2.7952486377094160E-001                  1.2531170550721866E-008                  2.9031671580971880E-078                  0.0000000000000000E+000                  3.5167252522529577E-003                  1.0301620435492552E-003                  9.5647424084856474E-003                  2.1452815719479059E-003                  4.1795848505164768E-003                 -1.5489533872718589E-001                 -3.2389860244000218E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -7.7537127957709757E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957522E+000                 -2.0193267216199229E+000                 -2.6685156978299260E+000                 -2.3788668536517186E+000                  7.0001067228923031E-001                  5.0834967947356130E-041                  2.7955281905284688E-005                  2.7952486377094160E-001                  1.2531170550721866E-008                  4.4889273768043760E-095                  0.0000000000000000E+000                  3.5167252522529582E-003                  1.0301620435492552E-003                  9.5647424084856474E-003                  2.1452815719479059E-003                  4.1795848505164759E-003                  7.0001067228923008E-001                  1.1605302843182664E-034                  2.7955281905284682E-005                  2.7952486377094177E-001                  1.2531170550721866E-008                  1.4281813743862559E-080                  0.0000000000000000E+000                  3.5167252522529547E-003                  1.0301620435492547E-003                  9.5647424084856526E-003                  2.1452815719479046E-003                  4.1795848505164750E-003                 -1.5489533872718589E-001                 -4.0293837445939744E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -9.4347857420686168E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957522E+000                 -2.0193267216199229E+000                 -2.6685156978299260E+000                 -2.3788668536517190E+000                 -1.5489533872718603E-001                 -3.3935343522040718E+001                 -4.5535361238920808E+000                 -5.5357955551188864E-001                 -7.9020083591754311E+000                 -7.9845216635071651E+001                 -9.8999999999999986E+001                 -2.4538615600570663E+000                 -2.9870944557957526E+000                 -2.0193267216199224E+000                 -2.6685156978299265E+000                 -2.3788668536517190E+000                  7.0001067228923008E-001                  2.7952486377094177E-001                                        0                                        0                                        6                  0.0000000000000000E+000                  7.0000000000000007E-002                  6.0157695399999999E+007                  8.8599999999999994E+000                  3.9833964619408281E+012 
                                      30                                      553                  1.1818815689988476E-002                 -2.7037438646188803E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  1.2513272154584810E-004                  8.7114663428394046E-001                  1.7154869418978106E-003                  9.9999716347460166E-001                  9.4165857562447453E-001                  8.7114663428394046E-001                  1.7154869418978106E-003                  9.9999716347460166E-001                  9.4165857562447453E-001                 -2.1638775374259442E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1638775374259442E+001                 -2.1638775374259442E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5906115511046583E+000                  2.2444831625133479E+000                  1.4642773154999842E+000                  1.5083851268186950E+000                 -2.8943630475118699E-002                  5.4774010949117375E+000                 -3.2906493656349083E+000                  1.0310246630233708E+001                 -3.2906493656349083E+000                  5.4774010949117375E+000                  6.2136987413848721E-001                  8.5000999446318237E-001                  1.2967695133870352E+000                  7.0001067228923031E-001                  1.0222481436235974E-032                  2.7955281905284685E-005                  2.7952486377094160E-001                  1.2531170550721868E-008                  7.3171130975601888E-078                  0.0000000000000000E+000                  3.5167252522529577E-003                  1.0301620435492552E-003                  9.5647424084856474E-003                  2.1452815719479059E-003                  4.1795848505164768E-003                 -1.5489533872718589E-001                 -3.1990443669440545E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -7.7135660232206362E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957522E+000                 -2.0193267216199229E+000                 -2.6685156978299260E+000                 -2.3788668536517186E+000                  7.0001067228923031E-001                  1.4109937247884684E-040                  2.7955281905284685E-005                  2.7952486377094160E-001                  1.2531170550721868E-008                  1.2459962967442064E-094                  0.0000000000000000E+000                  3.5167252522529577E-003                  1.0301620435492552E-003                  9.5647424084856474E-003                  2.1452815719479059E-003                  4.1795848505164776E-003                  7.0001067228923020E-001                  2.9121287543772338E-034                  2.7955281905284685E-005                  2.7952486377094177E-001                  1.2531170550721864E-008                  3.6027262925314047E-080                  0.0000000000000000E+000                  3.5167252522529551E-003                  1.0301620435492547E-003                  9.5647424084856526E-003                  2.1452815719479050E-003                  4.1795848505164750E-003                 -1.5489533872718589E-001                 -3.9850474917709718E+001                 -4.5535361238920808E+000                 -5.5357955551188898E-001                 -7.9020083591754311E+000                 -9.3904483248452081E+001                 -9.8999999999999986E+001                 -2.4538615600570659E+000                 -2.9870944557957522E+000                 -2.0193267216199229E+000                 -2.6685156978299260E+000                 -2.3788668536517186E+000                 -1.5489533872718594E-001                 -3.3535789427408652E+001                 -4.5535361238920808E+000                 -5.5357955551188864E-001                 -7.9020083591754311E+000                 -7.9443368730982769E+001                 -9.8999999999999986E+001                 -2.4538615600570663E+000                 -2.9870944557957526E+000                 -2.0193267216199224E+000                 -2.6685156978299265E+000                 -2.3788668536517190E+000                  7.0001067228923020E-001                  2.7952486377094177E-001                                        0                                        0                                        6                  0.0000000000000000E+000                  7.0000000000000007E-002                  6.0157695399999999E+007                  8.8599999999999994E+000                  3.9886746670388706E+012 
