05514777+2149008,6455.0,84.0,4.42,0.22,-0.49,0.08,3.17,0.15,Br21,0.998
05515117+2150050,4784.0,66.0,2.67,0.18,-0.14,0.05,1.02,0.1,Br21,0.9996
05515345+2147578,5592.0,83.0,3.38,0.22,-0.31,0.07,2.48,0.11,Br21,0.9976
05515523+2146016,5022.0,82.0,2.99,0.22,-0.14,0.08,1.17,0.15,Br21,0.9996
05515655+2149434,6777.0,106.0,3.34,0.34,-0.4,0.1,3.31,0.2,Br21,0.9917
05515716+2151083,6804.0,81.0,3.39,0.21,-0.09,0.07,2.89,,Br21,0.9932
05514200+2148497,4520.0,33.0,2.25,0.05,-0.18,0.04,3.01,0.06,Br21,0.9998
05514204+2148027,4509.0,31.0,2.15,0.05,-0.23,0.05,-1.0,,Br21,0.9995
05514483+2148504,4120.0,45.0,1.63,0.07,-0.44,0.08,0.42,0.08,Br21,0.9996
05514883+2148542,4530.0,32.0,2.16,0.05,-0.2,0.04,-1.0,,Br21,0.9998
05514944+2146597,4419.0,33.0,1.91,0.05,-0.24,0.04,0.66,0.06,Br21,0.9998
05512285+2146017,6205.0,81.0,3.87,0.22,-0.38,0.08,2.76,0.12,Br21,0.9982
05512645+2149179,6140.0,85.0,3.31,0.21,-0.6,0.08,2.97,0.21,Br21,0.9978
05513866+2145349,5871.0,82.0,4.33,0.22,-0.62,0.08,1.72,,Br21,0.9919
05513951+2146429,5063.0,64.0,3.03,0.18,-0.16,0.05,0.87,,Br21,0.9998
05514742+2148457,4986.0,63.0,2.91,0.17,-0.12,0.05,0.4,0.49,Br21,0.9996
05514756+2148067,6185.0,83.0,3.2,0.22,0.03,0.08,2.89,0.22,Br21,0.9974
05515261+2147522,5596.0,65.0,3.59,0.18,-0.23,0.06,2.32,0.11,Br21,0.9969
05515964+2144121,6239.0,81.0,4.08,0.22,-0.28,0.08,2.41,,Br21,0.9911
05520771+2150531,5290.0,66.0,3.54,0.18,-0.36,0.05,2.17,0.11,Br21,0.9977
05513679+2147479,5041.0,65.0,3.0,0.17,-0.15,0.05,0.57,0.94,Br21,0.9997
05513961+2146494,5010.0,64.0,3.04,0.17,-0.08,0.05,1.04,,Br21,0.9996
05515895+2148284,5668.0,81.0,3.33,0.21,-0.3,0.08,2.44,0.14,Br21,0.9967
05512285+2148139,5803.0,67.0,3.79,0.17,-0.36,0.05,2.44,0.13,Br21,0.9832
05513584+2150125,4997.0,65.0,3.01,0.17,-0.13,0.05,0.98,0.15,Br21,0.9994
05513655+2149535,6238.0,80.0,3.41,0.22,-0.59,0.08,2.71,0.17,Br21,0.9985
05514501+2146307,6653.0,100.0,3.8,0.33,-0.37,0.09,2.59,,Br21,0.995
05514573+2146489,4745.0,65.0,2.54,0.17,-0.19,0.05,1.11,0.1,Br21,0.9998
05514773+2149434,5050.0,64.0,3.22,0.17,-0.45,0.05,1.62,0.11,Br21,0.9987
05515891+2148420,5618.0,80.0,3.3,0.22,-0.21,0.08,2.32,0.14,Br21,0.9961
05520265+2144496,5035.0,64.0,3.33,0.17,-0.2,0.06,1.5,0.13,Br21,0.9994
05513930+2150034,6892.0,84.0,3.74,0.22,-0.5,0.08,3.27,0.25,Br21,0.9987
05514130+2145383,6320.0,84.0,3.84,0.21,-0.61,0.08,2.85,0.24,Br21,0.9951
05514290+2147462,6324.0,84.0,3.69,0.22,0.07,0.08,2.94,0.19,Br21,0.9981
05514412+2147440,5643.0,82.0,3.46,0.21,-0.48,0.08,2.01,,Br21,0.9984
05514863+2147505,6454.0,81.0,3.83,0.22,-0.02,0.08,2.88,0.17,Br21,0.9987
05515065+2148321,5127.0,66.0,3.21,0.18,-0.07,0.05,1.53,0.12,Br21,0.9905
05515180+2147238,6444.0,83.0,3.85,0.21,0.26,0.08,3.24,0.17,Br21,0.9984
05515695+2147377,5008.0,65.0,2.94,0.17,-0.15,0.05,1.54,0.12,Br21,0.9712
05512750+2153016,6475.0,82.0,4.58,0.22,-0.09,0.08,3.15,0.15,Br21,0.9924
05513769+2153554,6098.0,81.0,3.11,0.22,-0.84,0.08,2.02,,Br21,0.9976
05513871+2150063,6747.0,82.0,4.43,0.22,0.11,0.08,2.55,,Br21,0.9958
05513960+2153487,6501.0,84.0,4.12,0.22,-0.03,0.08,2.97,0.19,Br21,0.996
05514216+2146407,5015.0,66.0,2.99,0.18,-0.11,0.05,0.16,0.74,Br21,0.9995
05514232+2148454,5945.0,80.0,3.91,0.22,-0.2,0.08,2.57,0.1,Br21,0.999
05514280+2147242,6695.0,84.0,3.89,0.22,-0.21,0.08,2.95,0.18,Br21,0.9982
05514325+2149216,6656.0,81.0,3.06,0.23,-0.52,0.08,2.88,0.18,Br21,0.9972
05514435+2148014,6707.0,80.0,4.42,0.22,0.02,0.07,3.07,0.17,Br21,0.9974
05514869+2148585,6260.0,82.0,3.48,0.22,-0.23,0.08,2.48,0.21,Br21,0.9891
05514910+2148440,6269.0,83.0,4.08,0.22,-0.05,0.07,3.12,0.14,Br21,0.9983
05515566+2149482,5568.0,63.0,3.71,0.17,-0.21,0.05,2.26,0.09,Br21,0.999
05512626+2149496,6686.0,82.0,4.39,0.22,-0.21,0.08,3.23,0.18,Br21,0.9743
05512981+2143071,6736.0,65.0,4.29,0.17,-0.37,0.05,2.32,0.25,Br21,0.9982
05514334+2147068,6736.0,83.0,4.62,0.22,-0.37,0.08,3.36,0.18,Br21,0.9975
05514368+2147277,6570.0,64.0,4.46,0.17,-0.07,0.05,3.21,0.11,Br21,0.9944
05514903+2149310,6468.0,84.0,4.6,0.22,-0.01,0.08,2.89,0.2,Br21,0.9954
05515017+2149207,4974.0,63.0,3.06,0.18,-0.07,0.05,1.35,0.1,Br21,0.9979
05515727+2150546,5964.0,83.0,4.3,0.22,-0.17,0.08,2.23,0.15,Br21,0.9992
05520624+2144252,6463.0,83.0,3.97,0.22,0.16,0.07,3.01,0.15,Br21,0.9932
05513825+2149243,4985.0,33.0,2.7,0.05,-0.11,0.04,0.63,,Br21,0.9996
05513908+2150213,5048.0,33.0,2.79,0.05,-0.19,0.04,0.82,,Br21,0.9998
05514217+2150599,4991.0,32.0,2.73,0.05,-0.21,0.05,0.31,,Br21,0.9996
05514275+2150304,4952.0,33.0,2.67,0.05,-0.19,0.04,0.72,,Br21,0.9997
05514277+2149599,4413.0,30.0,1.87,0.05,-0.25,0.05,0.69,0.05,Br21,0.9997
05514545+2148168,4605.0,31.0,2.33,0.05,-0.24,0.05,1.14,0.05,Br21,0.9998
05515202+2149143,4626.0,33.0,2.43,0.05,-0.19,0.04,0.96,0.06,Br21,0.9994
05580716+0743388,4995.0,65.0,3.06,0.18,-0.13,0.05,0.86,0.15,Br22,1.0
05580794+0745557,5102.0,61.0,3.53,0.17,-0.26,0.06,1.5,0.16,Br22,0.9999
05581601+0745425,5254.0,64.0,3.82,0.17,-0.15,0.05,1.85,0.14,Br22,1.0
05582173+0745314,5033.0,62.0,3.57,0.18,-0.19,0.05,1.47,0.14,Br22,0.9999
05582173+0747012,5011.0,65.0,3.06,0.17,-0.2,0.05,1.22,0.16,Br22,1.0
05582695+0745261,3776.0,107.0,1.03,0.24,-0.16,0.09,-1.0,,Br22,0.9829
05582709+0746206,4946.0,66.0,3.05,0.17,-0.12,0.05,1.25,0.12,Br22,1.0
05582869+0744339,5142.0,83.0,3.23,0.22,-0.43,0.08,1.86,0.17,Br22,1.0
05583119+0745274,5136.0,66.0,3.75,0.17,-0.07,0.06,1.52,0.16,Br22,1.0
05583459+0744390,4918.0,64.0,2.85,0.17,-0.31,0.05,0.69,0.22,Br22,1.0
05581634+0745408,6372.0,81.0,3.92,0.22,-0.18,0.08,2.98,0.19,Br22,0.9999
05582088+0746054,6378.0,82.0,4.43,0.33,-0.54,0.08,2.87,0.24,Br22,0.9998
05582101+0743505,5947.0,81.0,4.62,0.22,-0.4,0.07,2.6,0.19,Br22,0.9999
05582153+0745171,5177.0,82.0,4.01,0.22,-0.25,0.08,1.48,0.27,Br22,0.9942
05582225+0744513,6458.0,102.0,4.08,0.33,-0.23,0.1,3.04,0.17,Br22,0.9999
05582359+0746424,4867.0,81.0,3.16,0.22,-0.26,0.08,1.2,,Br22,0.9999
05582381+0745440,6125.0,83.0,3.81,0.22,-0.81,0.08,2.68,,Br22,0.9997
05582878+0746196,5016.0,81.0,2.98,0.22,-0.24,0.08,1.56,0.2,Br22,0.9999
05583050+0747464,6263.0,84.0,4.14,0.22,-0.22,0.08,2.8,,Br22,0.9999
05583070+0742101,4841.0,82.0,3.03,0.21,-0.35,0.08,1.08,0.38,Br22,0.9999
05583211+0747092,4649.0,63.0,2.34,0.17,-0.35,0.05,0.32,0.17,Br22,1.0
05581517+0743214,5278.0,82.0,2.83,0.22,-0.94,0.08,2.08,0.18,Br22,0.9991
05581676+0744469,5539.0,82.0,3.35,0.22,-0.55,0.08,1.69,,Br22,0.9997
05581893+0747317,4828.0,82.0,3.41,0.22,-0.73,0.08,1.3,0.2,Br22,0.9993
05582215+0745435,5916.0,84.0,4.27,0.33,-0.6,0.08,1.93,,Br22,0.9999
05582514+0747047,5600.0,81.0,3.13,0.21,-0.49,0.08,2.04,0.36,Br22,0.9991
05582910+0744222,4963.0,84.0,3.25,0.21,-0.06,0.08,1.29,0.45,Br22,0.9999
05581312+0743255,5270.0,66.0,3.67,0.17,-0.36,0.06,1.78,0.16,Br22,0.9999
05582053+0744052,5764.0,79.0,4.43,0.22,-0.88,0.08,2.32,,Br22,0.9994
05582366+0744166,6232.0,82.0,4.25,0.33,-0.48,0.1,2.43,0.32,Br22,0.9998
05583147+0745301,6152.0,80.0,3.87,0.34,-0.65,0.08,2.11,,Br22,0.9999
05584819+0745561,6229.0,81.0,3.98,0.22,-0.87,0.08,2.97,,Br22,0.9999
05582744+0745385,5036.0,66.0,3.07,0.17,-0.14,0.06,0.87,0.31,Br22,1.0
05583767+0748280,5046.0,63.0,3.06,0.18,-0.2,0.05,0.73,0.24,Br22,0.9995
05581989+0743559,4962.0,32.0,2.45,0.06,-0.3,0.05,0.81,,Br22,0.9819
05582518+0747593,4930.0,32.0,2.73,0.06,-0.17,0.04,0.75,0.12,Br22,1.0
05582595+0746114,4329.0,44.0,1.74,0.07,-0.38,0.04,0.03,0.08,Br22,1.0
05582915+0745331,4813.0,33.0,2.69,0.05,-0.36,0.05,0.33,,Br22,0.9999
05583017+0742597,5127.0,34.0,2.83,0.05,-0.24,0.05,0.81,,Br22,1.0
05583046+0746119,4743.0,55.0,2.55,0.09,-0.23,0.04,1.24,0.09,Br22,0.9998
05583091+0746314,4963.0,34.0,2.64,0.05,-0.25,0.04,0.82,0.12,Br22,1.0
06574688+0316593,6543.0,64.0,4.12,0.17,-0.27,0.05,2.66,,Br30,0.9775
06575649+0313337,6754.0,99.0,4.27,0.26,0.42,0.07,3.12,0.16,Br30,0.9924
06572773+0312107,6696.0,82.0,3.94,0.22,-0.04,0.07,3.23,0.18,Br30,0.9844
06574063+0316018,6737.0,84.0,4.33,0.22,-0.07,0.08,3.06,0.2,Br30,0.9915
06574145+0315351,6848.0,109.0,4.17,0.24,-0.06,0.09,2.97,0.16,Br30,0.9698
06574258+0313501,6431.0,63.0,4.03,0.17,-0.24,0.05,2.84,0.11,Br30,0.9913
06574326+0316414,6703.0,66.0,4.24,0.17,-0.09,0.06,3.15,0.15,Br30,0.9953
06574450+0313062,6631.0,83.0,4.22,0.22,-0.36,0.08,3.16,0.26,Br30,0.99
06574621+0314134,6629.0,65.0,4.04,0.17,0.02,0.05,2.78,0.2,Br30,0.9816
06574989+0309394,6612.0,80.0,4.36,0.22,-0.11,0.08,2.95,,Br30,0.9705
06575489+0314159,6983.0,71.0,4.03,0.21,-0.4,0.06,2.99,0.16,Br30,0.9942
06580483+0312579,6723.0,87.0,4.18,0.22,0.06,0.08,2.57,,Br30,0.9749
06572924+0313476,6167.0,84.0,3.35,0.21,-0.11,0.08,2.96,0.15,Br30,0.9764
06574574+0312117,6583.0,84.0,3.82,0.21,-0.33,0.08,3.38,0.16,Br30,0.954
